season,player_id,player,team,field_group,tackles,sacks,tfl,passes_defended,interceptions
2008,183320,Gerald Munns,Arizona St,LB,0.0,0.0,0.0,0.0,1.0
2014,381468,Michael Alisa,BYU,LB,0.0,0.0,0.0,0.0,1.0
2014,482534,Michael Doctor,Oregon State,LB,0.0,0.0,0.0,0.0,3.0
2014,487583,Craig Bills,BYU,DB,0.0,0.0,0.0,0.0,1.0
2014,499479,Sheldon Wade,North Texas,DB,0.0,0.0,0.0,0.0,1.0
2014,499839,Forrest Hightower,San Jose State,S,0.0,0.0,0.0,0.0,1.0
2014,500171,Eddy Edwards,New Mexico,CB,0.0,0.0,0.0,0.0,2.0
2014,500220,Isaiah Johnson,Georgia Tech,S,0.0,0.0,0.0,0.0,1.0
2014,500225,Quayshawn Nealy,Georgia Tech,LB,0.0,0.0,0.0,0.0,2.0
2014,500243,Hayes Pullard,USC,LB,0.0,0.0,0.0,0.0,1.0
2014,500313,Craig Mager,Texas State,CB,0.0,0.0,0.0,0.0,3.0
2014,500347,Anthony Jefferson,UCLA,DB,0.0,0.0,0.0,0.0,1.0
2014,500349,Eric Kendricks,UCLA,LB,0.0,0.0,0.0,0.0,3.0
2014,500400,Ibraheim Campbell,Northwestern,S,0.0,0.0,0.0,0.0,3.0
2014,500405,Collin Ellis,Northwestern,LB,0.0,0.0,0.0,0.0,1.0
2014,500408,Jimmy Hall,Northwestern,LB,0.0,0.0,0.0,0.0,2.0
2014,500482,Houston Bates,LA Tech,DL,0.0,0.0,0.0,0.0,1.0
2014,500502,Earnest Thomas,Illinois,DB,0.0,0.0,0.0,0.0,1.0
2014,500516,Marco Nelson,Tulsa,S,0.0,0.0,0.0,0.0,1.0
2014,500547,Kevin Johnson,Wake Forest,CB,0.0,0.0,0.0,0.0,1.0
2014,500553,Bud Noel,Wake Forest,CB,0.0,0.0,0.0,0.0,3.0
2014,500598,Brian Williams,W Michigan,DB,0.0,0.0,0.0,0.0,1.0
2014,500687,Adrian James,UTEP,DB,0.0,0.0,0.0,0.0,1.0
2014,500696,Wesley Miller,UTEP,DB,0.0,0.0,0.0,0.0,1.0
2014,500777,Lamar Ivey,ECU,DB,0.0,0.0,0.0,0.0,2.0
2014,500808,Landon Feichter,Purdue,S,0.0,0.0,0.0,0.0,5.0
2014,500933,Justin Utupo,Notre Dame,DL,0.0,0.0,0.0,0.0,1.0
2014,500944,Maurice Falls,ECU,LB,0.0,0.0,0.0,0.0,1.0
2014,500983,Sterling Young,Arkansas State,DB,0.0,0.0,0.0,0.0,2.0
2014,500984,Andrew Tryon,Arkansas State,DB,0.0,0.0,0.0,0.0,2.0
2014,501001,Qushaun Lee,Arkansas State,LB,0.0,0.0,0.0,0.0,4.0
2014,501108,Jeremiah Johnson,Maryland,DB,0.0,0.0,0.0,0.0,1.0
2014,501209,Detrick Bonner,Virginia Tech,S,0.0,0.0,0.0,0.0,1.0
2014,501244,Charles Garrett,Nevada,DB,0.0,0.0,0.0,0.0,1.0
2014,501272,Randall Evans,Kansas State,DB,0.0,0.0,0.0,0.0,4.0
2014,501549,Trovon Reed,Auburn,DB,0.0,0.0,0.0,0.0,3.0
2014,501555,Demarco Cobbs,Texas,LB,0.0,0.0,0.0,0.0,1.0
2014,501606,Larry Stephens,Oklahoma State,S,0.0,0.0,0.0,0.0,1.0
2014,501674,Dominique Williams,Boston College,DB,0.0,0.0,0.0,0.0,1.0
2014,501694,Garry Peters,Clemson,CB,0.0,0.0,0.0,0.0,1.0
2014,501831,Darvin Ruise,Missouri,DB,0.0,0.0,0.0,0.0,1.0
2014,501838,Braylon Webb,Missouri,S,0.0,0.0,0.0,0.0,4.0
2014,501844,Corey Cooper,Nebraska,S,0.0,0.0,0.0,0.0,1.0
2014,501866,Joshua Mitchell,Nebraska,DB,0.0,0.0,0.0,0.0,1.0
2014,501891,Caleb Gastelum,Oklahoma,LB,0.0,0.0,0.0,0.0,1.0
2014,501893,Geneo Grissom,Oklahoma,LB,0.0,0.0,0.0,0.0,1.0
2014,501894,Quentin Hayes,Oklahoma,S,0.0,0.0,0.0,0.0,1.0
2014,501921,Julian Wilson,Oklahoma,CB,0.0,0.0,0.0,0.0,1.0
2014,501935,Jordan Hicks,Texas,LB,0.0,0.0,0.0,0.0,2.0
2014,502264,Bryce Hager,Baylor,LB,0.0,0.0,0.0,0.0,1.0
2014,502293,Ty-Meer Brown,Boston College,DB,0.0,0.0,0.0,0.0,1.0
2014,502300,Byron Jones,UConn,CB,0.0,0.0,0.0,0.0,2.0
2014,502413,Todd Thomas,Pitt,LB,0.0,0.0,0.0,0.0,1.0
2014,502435,Alani Fua,BYU,LB,0.0,0.0,0.0,0.0,2.0
2014,502458,Zac Stout,BYU,LB,0.0,0.0,0.0,0.0,1.0
2014,502545,Dechane Durante,N Illinois,S,0.0,0.0,0.0,0.0,4.0
2014,502562,Michael Santacaterina,N Illinois,LB,0.0,0.0,0.0,0.0,1.0
2014,502752,Dexter McDonald,Kansas,CB,0.0,0.0,0.0,0.0,2.0
2014,502865,Bernard Blake,Colorado State,DB,0.0,0.0,0.0,0.0,1.0
2014,502942,Josh Gavert,San Diego State,LB,0.0,0.0,0.0,0.0,1.0
2014,502962,JJ Augustus Whittaker,San Diego State,DB,0.0,0.0,0.0,0.0,2.0
2014,502970,Sam Carter,TCU,S,0.0,0.0,0.0,0.0,4.0
2014,502985,Marcus Mallet,TCU,LB,0.0,0.0,0.0,0.0,1.0
2014,502995,Kevin White,SOUTH,CB,0.0,0.0,0.0,0.0,1.0
2014,502995,Kevin White,TCU,CB,0.0,0.0,0.0,0.0,2.0
2014,503007,Tajh Hasson,UNLV,DB,0.0,0.0,0.0,0.0,1.0
2014,503009,Sidney Hodge,UNLV,DB,0.0,0.0,0.0,0.0,1.0
2014,503011,Mike Horsey,UNLV,DB,0.0,0.0,0.0,0.0,1.0
2014,503022,Kenneth Penny,UNLV,DB,0.0,0.0,0.0,0.0,1.0
2014,503038,Brian Blechen,Utah,DB,0.0,0.0,0.0,0.0,1.0
2014,503044,Jacoby Hale,Utah,LB,0.0,0.0,0.0,0.0,1.0
2014,503171,Efrem Oliphant,Houston,LB,0.0,0.0,0.0,0.0,2.0
2014,503191,Kurtis Drummond,Michigan State,S,0.0,0.0,0.0,0.0,4.0
2014,503276,Darryl Roberts,Marshall,DB,0.0,0.0,0.0,0.0,1.0
2014,503331,Mike Hull,Penn State,LB,0.0,0.0,0.0,0.0,1.0
2014,503334,Ryan Keiser,Penn State,S,0.0,0.0,0.0,0.0,1.0
2014,503373,Taurean Nixon,Tulane,CB,0.0,0.0,0.0,0.0,1.0
2014,503403,Peniel Jean,Wisconsin,CB,0.0,0.0,0.0,0.0,2.0
2014,503420,Marcus Trotter,Wisconsin,LB,0.0,0.0,0.0,0.0,1.0
2014,503427,Bryce Callahan,Rice,CB,0.0,0.0,0.0,0.0,2.0
2014,503446,James Radcliffe,Rice,LB,0.0,0.0,0.0,0.0,1.0
2014,503453,John Bordano,SMU,LB,0.0,0.0,0.0,0.0,1.0
2014,503458,Hayden Greenbauer,SMU,DB,0.0,0.0,0.0,0.0,1.0
2014,503520,Dasman McCullum,Southern Miss,DL,0.0,0.0,0.0,0.0,1.0
2014,503652,Jordan Ozerities,UCF,DB,0.0,0.0,0.0,0.0,3.0
2014,503703,Ryland Ward,Bowling Green,DB,0.0,0.0,0.0,0.0,3.0
2014,503705,Jude Adjei-Barimah,Bowling Green,DB,0.0,0.0,0.0,0.0,1.0
2014,503707,Gabe Martin,Bowling Green,LB,0.0,0.0,0.0,0.0,2.0
2014,503748,Witney Sherry,Buffalo,S,0.0,0.0,0.0,0.0,1.0
2014,503815,Robert Welsh,Syracuse,DL,0.0,0.0,0.0,0.0,1.0
2014,503839,Gareef Glashen,Rutgers,DB,0.0,0.0,0.0,0.0,1.0
2014,503856,Lorenzo Waters,Rutgers,DB,0.0,0.0,0.0,0.0,2.0
2014,503881,Wes Tonkery,West Virginia,LB,0.0,0.0,0.0,0.0,1.0
2014,503886,Josh Furman,Oklahoma State,LB,0.0,0.0,0.0,0.0,1.0
2014,503891,Ray Vinopal,Pitt,DB,0.0,0.0,0.0,0.0,2.0
2014,503898,Jake Ryan,Michigan,LB,0.0,0.0,0.0,0.0,1.0
2014,503974,Cody Riggs,Notre Dame,CB,0.0,0.0,0.0,0.0,1.0
2014,504050,Nick Perry,Alabama,DB,0.0,0.0,0.0,0.0,2.0
2014,504087,Alan Turner,Arkansas,S,0.0,0.0,0.0,0.0,1.0
2014,504114,Jonathon Mincy,Auburn,DB,0.0,0.0,0.0,0.0,1.0
2014,504205,Cliff Coleman,Ole Miss,DB,0.0,0.0,0.0,0.0,1.0
