season,player_id,player,team,field_position,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds
2014,109907,Jon Lee,Air Force,RB,0.0,0.0,39.0,0.0,12.0,0.0
2014,147386,Josh Smith,Akron,WR,0.0,0.0,0.0,0.0,19.0,0.0
2014,183814,Cody Clay,West Virginia,TE,0.0,0.0,4.0,0.0,65.0,0.0
2014,381477,Jefferson Court,Utah State,TE,0.0,0.0,0.0,0.0,26.0,3.0
2014,381494,Christian Stewart,BYU,QB,2621.0,25.0,163.0,4.0,0.0,0.0
2014,480211,Andre Debose,Florida,WR,0.0,0.0,30.0,0.0,-3.0,0.0
2014,480746,Bryce Petty,Baylor,QB,3855.0,29.0,101.0,6.0,0.0,0.0
2014,480746,Bryce Petty,NORTH,QB,0.0,0.0,0.0,0.0,0.0,0.0
2014,480846,C.J. Brown,Maryland,QB,2288.0,13.0,539.0,8.0,-11.0,0.0
2014,480878,Cory White,FIU,TE,0.0,0.0,0.0,0.0,52.0,1.0
2014,481341,Marcus Sullivan,UNLV,WR,0.0,0.0,33.0,0.0,176.0,2.0
2014,482359,Gabe Holmes,Purdue,TE,0.0,0.0,0.0,0.0,178.0,2.0
2014,482594,Taysom Hill,BYU,QB,975.0,7.0,460.0,8.0,0.0,0.0
2014,482644,Jordan Pu'u-Robinson,Hawaii,TE,0.0,0.0,0.0,0.0,50.0,0.0
2014,482880,Sterling Griffin,LA Tech,WR,0.0,0.0,0.0,0.0,408.0,2.0
2014,483389,Jake Golic,Cincinnati,TE,0.0,0.0,0.0,0.0,2.0,1.0
2014,487641,Mitch Mathews,BYU,WR,0.0,0.0,0.0,0.0,922.0,9.0
2014,499005,David Johnson,SOUTH,RB,0.0,0.0,43.0,1.0,16.0,0.0
2014,499639,Isaiah Roundtree,Indiana,WR,0.0,0.0,0.0,0.0,32.0,0.0
2014,499695,Drew Bailey,Appalachian St,TE,0.0,0.0,0.0,0.0,2.0,1.0
2014,499788,Jesse Callier,Washington,RB,0.0,0.0,91.0,1.0,0.0,0.0
2014,499789,DiAndre Campbell,Washington,WR,0.0,0.0,0.0,0.0,231.0,1.0
2014,499791,Deontae Cooper,Washington,RB,2.0,0.0,285.0,0.0,155.0,1.0
2014,499798,Michael Hartvigson,Washington,TE,0.0,0.0,0.0,0.0,65.0,0.0
2014,499807,Nick Montana,Tulane,QB,342.0,1.0,30.0,0.0,0.0,0.0
2014,499830,Blake Jurich,San Jose State,QB,672.0,5.0,45.0,1.0,0.0,0.0
2014,500212,B.J. Bostic,Georgia Tech,RB,15.0,0.0,134.0,1.0,37.0,0.0
2014,500214,Matt Connors,Georgia Tech,RB,0.0,0.0,113.0,2.0,0.0,0.0
2014,500215,Synjyn Days,Georgia Tech,RB,0.0,0.0,924.0,9.0,33.0,1.0
2014,500218,Deon Hill,Georgia Tech,RB,0.0,0.0,232.0,3.0,178.0,1.0
2014,500226,Charles Perkins,Georgia Tech,RB,0.0,0.0,443.0,0.0,84.0,1.0
2014,500231,Tony Zenon,Georgia Tech,RB,0.0,0.0,293.0,4.0,161.0,1.0
2014,500233,Markeith Ambles,Houston,WR,0.0,0.0,0.0,0.0,539.0,4.0
2014,500237,Jesse Scroggins III,Arizona,QB,152.0,1.0,41.0,0.0,0.0,0.0
2014,500247,Soma Vainuku,USC,RB,0.0,0.0,40.0,1.0,0.0,0.0
2014,500253,Randall Telfer,USC,TE,0.0,0.0,0.0,0.0,197.0,2.0
