snapshot_at,team,player_id,name,position,jersey,age,birthdate,status,salary_2026_27,years_remaining,contract_end_year,contract_type
2026-09-08T20:32:52+00:00,ATL,5105571,Henri Veesaar,C,13,22,2004-03-28,Active,,,,Standard
2026-09-08T20:32:52+00:00,ATL,3146557,Jock Landale,C,31,30,1995-10-25,Active,,,,Standard
2026-09-08T20:32:52+00:00,ATL,4873201,Asa Newell,F,14,20,2005-10-05,Active,3399480,3,2027,Standard
2026-09-08T20:32:52+00:00,ATL,4280151,Corey Kispert,F,24,27,1999-03-03,Active,13975000,3,2027,Standard
2026-09-08T20:32:52+00:00,ATL,4701230,Jalen Johnson,F,1,24,2001-12-18,Active,30000000,4,2027,Standard
2026-09-08T20:32:52+00:00,ATL,4431714,Jalen Wilson,F,12,25,2000-11-04,Active,,,,Standard
2026-09-08T20:32:52+00:00,ATL,4712863,Mouhamed Gueye,F,18,23,2002-11-09,Active,2406205,1,2027,Standard
2026-09-08T20:32:52+00:00,ATL,4431680,Onyeka Okongwu,F,17,25,2000-12-11,Active,16120000,2,2027,Standard
2026-09-08T20:32:52+00:00,ATL,5106262,Zuby Ejiofor,F,20,22,2004-04-20,Active,,,,Standard
2026-09-08T20:32:52+00:00,ATL,4397183,Aaron Wiggins,G,2,27,1999-01-02,Active,9224300,3,2027,Standard
2026-09-08T20:32:52+00:00,ATL,2990984,Buddy Hield,G,8,33,1992-12-17,Active,9658536,2,2027,Standard
2026-09-08T20:32:52+00:00,ATL,2490149,CJ McCollum,G,3,34,1991-09-19,Active,21000000,1,,Standard
2026-09-08T20:32:52+00:00,ATL,4433188,Devin Carter,G,22,24,2002-03-18,Active,5158080,2,2027,Standard
2026-09-08T20:32:52+00:00,ATL,4869342,Dyson Daniels,G,5,23,2003-03-17,Active,25000000,4,2027,Standard
2026-09-08T20:32:52+00:00,ATL,4585618,Keshon Gilbert,G,51,23,2003-06-30,Active,,,,Standard
2026-09-08T20:32:52+00:00,ATL,5149077,Kingston Flemings,G,4,19,2007-01-03,Active,,,,Standard
2026-09-08T20:32:52+00:00,ATL,4397020,Luguentz Dort,G,0,27,1999-04-19,Active,18222222,1,2027,Standard
2026-09-08T20:32:52+00:00,ATL,4278039,Nickeil Alexander-Walker,G,7,28,1998-09-02,Active,14403710,3,2027,Standard
2026-09-08T20:32:52+00:00,ATL,4431941,RayJ Dennis,G,10,25,2001-03-30,Active,,,,Standard
2026-09-08T20:32:52+00:00,ATL,4433629,Ryan Nembhard,G,19,23,2003-03-10,Active,,,,Standard
2026-09-08T20:32:52+00:00,BKN,4432194,Day'Ron Sharpe,C,20,24,2001-11-06,Active,6250000,1,2027,Standard
2026-09-08T20:32:52+00:00,BKN,5174655,Chaney Johnson,F,31,24,2002-06-20,Active,,,,Standard
2026-09-08T20:32:52+00:00,BKN,5107173,Danny Wolf,F,2,22,2004-05-05,Active,2941440,3,2027,Standard
2026-09-08T20:32:52+00:00,BKN,4432821,E.J. Liddell,F,9,25,2000-12-18,Active,,,,Standard
2026-09-08T20:32:52+00:00,BKN,4687718,Josh Minott,F,00,23,2002-11-25,Active,2584539,1,2027,Standard
2026-09-08T20:32:52+00:00,BKN,4870564,Joshua Jefferson,F,,22,2003-11-21,Active,,,,Standard
2026-09-08T20:32:52+00:00,BKN,3064514,Julius Randle,F,30,31,1994-11-29,Active,33333333,2,2027,Standard
2026-09-08T20:32:52+00:00,BKN,4278104,Michael Porter Jr.,F,17,28,1998-06-29,Active,40906150,1,2027,Standard
2026-09-08T20:32:52+00:00,BKN,3150844,Moritz Wagner,F,,29,1997-04-26,Active,,,,Standard
2026-09-08T20:32:52+00:00,BKN,4712896,Noah Clowney,F,21,22,2004-07-14,Active,5414034,1,2027,Standard
2026-09-08T20:32:52+00:00,BKN,5105626,Tyler Bilodeau,F,34,22,2004-04-17,Active,,,,Standard
2026-09-08T20:32:52+00:00,BKN,5242502,Ben Saraf,G,77,20,2006-04-14,Active,3028560,3,2027,Standard
2026-09-08T20:32:52+00:00,BKN,5037873,Drake Powell,G,4,20,2005-09-08,Active,3540600,3,2027,Standard
2026-09-08T20:32:52+00:00,BKN,5175643,Egor Demin,G,8,20,2006-03-03,Active,7233720,3,2027,Standard
2026-09-08T20:32:52+00:00,BKN,4702177,Keon Ellis,G,,26,2000-01-08,Active,,,,Standard
2026-09-08T20:32:52+00:00,BKN,5101761,Mikel Brown Jr.,G,0,20,2006-04-03,Active,,,,Standard
2026-09-08T20:32:52+00:00,BKN,5279130,Nolan Traore,G,13,20,2006-05-28,Active,4002000,3,2027,Standard
2026-09-08T20:32:52+00:00,BKN,3907823,Terance Mann,G,14,29,1996-10-18,Active,15500000,2,2027,Standard
