season,player,player_id,team,pos,g,x3p,trb,ast,stl,blk,pts
2025,Precious Achiuwa,achiupr01,NYK,C,57,10.0,317.0,55,47.0,42.0,379
2025,Steven Adams,adamsst01,HOU,C,58,0.0,327.0,66,22.0,28.0,225
2025,Bam Adebayo,adebaba01,MIA,C,78,79.0,749.0,337,98.0,53.0,1410
2025,Ochai Agbaji,agbajoc01,TOR,SG,64,101.0,242.0,98,58.0,30.0,667
2025,Santi Aldama,aldamsa01,MEM,PF,65,120.0,416.0,188,52.0,29.0,811
2025,Nickeil Alexander-Walker,alexani01,MIN,SG,82,141.0,265.0,223,50.0,34.0,773
2025,Trey Alexander,alexatr01,DEN,SG,24,3.0,12.0,11,2.0,1.0,32
2025,Grayson Allen,allengr01,PHO,SG,64,149.0,194.0,137,54.0,19.0,680
2025,Jarrett Allen,allenja01,CLE,C,82,0.0,798.0,158,77.0,73.0,1103
2025,Jose Alvarado,alvarjo01,NOP,PG,56,111.0,136.0,259,74.0,14.0,579
2025,Kyle Anderson,anderky01,GSW,PF,36,19.0,110.0,81,26.0,20.0,189
2025,Kyle Anderson,anderky01,MIA,SF,25,6.0,96.0,64,14.0,13.0,168
2025,Giannis Antetokounmpo,antetgi01,MIL,PF,67,14.0,798.0,433,58.0,78.0,2036
2025,Cole Anthony,anthoco01,ORL,PG,67,77.0,204.0,191,45.0,32.0,630
2025,OG Anunoby,anunoog01,NYK,PF,74,171.0,358.0,164,110.0,65.0,1332
2025,Armel Traoré,armeltr01,LAL,SF,9,0.0,15.0,1,4.0,2.0,14
2025,Deni Avdija,avdijde01,POR,SF,72,125.0,522.0,281,71.0,35.0,1219
2025,Deandre Ayton,aytonde01,POR,C,40,6.0,406.0,64,31.0,39.0,576
2025,Marvin Bagley III,baglema01,WAS,C,19,2.0,56.0,7,7.0,5.0,93
2025,Marvin Bagley III,baglema01,MEM,PF,12,1.0,28.0,4,2.0,3.0,43
2025,Marcus Bagley,baglema02,PHI,SF,10,5.0,70.0,10,9.0,12.0,67
2025,Patrick Baldwin Jr.,baldwpa01,WAS,SF,22,11.0,22.0,2,3.0,2.0,47
2025,Patrick Baldwin Jr.,baldwpa01,LAC,SF,2,2.0,3.0,1,0.0,0.0,6
2025,LaMelo Ball,ballla01,CHO,PG,47,179.0,232.0,346,54.0,13.0,1184
2025,Lonzo Ball,balllo01,CHI,PG,35,67.0,118.0,115,47.0,17.0,267
2025,Mo Bamba,bambamo01,LAC,C,28,15.0,120.0,16,9.0,28.0,128
2025,Mo Bamba,bambamo01,NOP,C,4,0.0,25.0,2,0.0,3.0,10
2025,Paolo Banchero,banchpa01,ORL,PF,46,87.0,345.0,219,36.0,28.0,1191
2025,Desmond Bane,banede01,MEM,SG,69,164.0,418.0,369,80.0,28.0,1327
2025,Dalano Banton,bantoda01,POR,PG,67,72.0,135.0,160,43.0,34.0,559
2025,Dominick Barlow,barlodo01,ATL,SF,35,7.0,85.0,19,9.0,16.0,148
2025,Harrison Barnes,barneha02,SAS,PF,82,156.0,310.0,136,39.0,14.0,1011
2025,Scottie Barnes,barnesc01,TOR,PF,65,76.0,502.0,378,93.0,63.0,1252
2025,RJ Barrett,barrerj01,TOR,SF,58,107.0,366.0,314,46.0,17.0,1223
2025,Charles Bassey,bassech01,SAS,C,36,0.0,152.0,17,14.0,30.0,157
2025,Emoni Bates,batesem01,CLE,SF,10,11.0,7.0,8,1.0,1.0,37
2025,Jamison Battle,battlja01,TOR,SF,59,105.0,158.0,53,17.0,10.0,419
2025,Nicolas Batum,batumni01,LAC,PF,78,88.0,218.0,84,52.0,36.0,313
2025,Damion Baugh,baughda01,CHO,SG,15,12.0,50.0,56,15.0,2.0,109
2025,Bradley Beal,bealbr01,PHO,SG,53,102.0,177.0,195,58.0,28.0,902
2025,Malik Beasley,beaslma01,DET,SG,82,319.0,214.0,139,73.0,5.0,1336
2025,MarJon Beauchamp,beaucma01,MIL,SF,26,7.0,32.0,8,3.0,1.0,52
2025,MarJon Beauchamp,beaucma01,LAC,SF,3,2.0,3.0,2,0.0,0.0,12
2025,MarJon Beauchamp,beaucma01,NYK,SF,6,1.0,9.0,1,1.0,0.0,15
2025,Reece Beekman,beekmre01,GSW,PG,2,0.0,1.0,1,1.0,0.0,2
2025,Reece Beekman,beekmre01,BRK,PG,34,7.0,38.0,62,32.0,2.0,91
2025,Goga Bitadze,bitadgo01,ORL,C,70,3.0,463.0,137,49.0,98.0,502
2025,Bismack Biyombo,biyombi01,SAS,C,28,0.0,158.0,31,16.0,23.0,144
2025,Anthony Black,blackan01,ORL,PG,78,62.0,230.0,240,86.0,48.0,736
2025,Bogdan Bogdanović,bogdabo01,ATL,SG,24,44.0,66.0,49,20.0,6.0,240
2025,Bogdan Bogdanović,bogdabo01,LAC,SG,30,61.0,93.0,97,21.0,5.0,343
2025,Bol Bol,bolbo01,PHO,PF,36,32.0,104.0,22,9.0,25.0,244
2025,Adem Bona,bonaad01,PHI,C,58,0.0,245.0,27,26.0,69.0,337
2025,Devin Booker,bookede01,PHO,SG,75,183.0,305.0,529,67.0,16.0,1923
2025,Brandon Boston Jr.,bostobr01,NOP,SG,42,49.0,134.0,92,53.0,9.0,448
2025,Chris Boucher,bouchch01,TOR,PF,50,70.0,224.0,33,24.0,25.0,502
2025,Jamaree Bouyea,bouyeja01,MIL,PG,5,1.0,5.0,10,4.0,2.0,17
2025,Tony Bradley,bradlto01,IND,C,14,1.0,42.0,6,2.0,9.0,61
2025,Malaki Branham,branhma01,SAS,SG,47,34.0,51.0,38,11.0,2.0,235
2025,Christian Braun,braunch01,DEN,SG,79,89.0,410.0,205,85.0,37.0,1218
2025,Jalen Bridges,bridgja01,PHO,SF,8,2.0,4.0,0,0.0,0.0,9
2025,Mikal Bridges,bridgmi01,NYK,SF,82,164.0,259.0,306,75.0,43.0,1444
2025,Miles Bridges,bridgmi02,CHO,PF,64,141.0,481.0,248,44.0,45.0,1300
2025,Oshae Brissett,brissos01,PHI,SF,6,6.0,22.0,4,4.0,3.0,52
2025,Malcolm Brogdon,brogdma01,WAS,PG,24,16.0,91.0,98,13.0,5.0,305
2025,Dillon Brooks,brookdi01,HOU,SF,75,186.0,275.0,128,60.0,16.0,1053
2025,Keion Brooks Jr.,brookke02,NOP,SF,14,14.0,58.0,13,10.0,10.0,142
2025,Bruce Brown,brownbr01,TOR,PG,18,11.0,68.0,28,17.0,3.0,151
2025,Bruce Brown,brownbr01,NOP,PG,23,16.0,96.0,56,17.0,7.0,189
2025,Jaylen Brown,brownja02,BOS,SF,63,116.0,368.0,286,73.0,19.0,1398
2025,Kobe Brown,brownko01,LAC,PF,40,6.0,65.0,24,7.0,4.0,77
2025,Moses Brown,brownmo01,IND,C,9,0.0,13.0,0,2.0,1.0,29
2025,Moses Brown,brownmo01,DAL,C,4,0.0,31.0,2,4.0,3.0,47
2025,Jalen Brunson,brunsja01,NYK,PG,65,152.0,187.0,475,60.0,8.0,1690
2025,Thomas Bryant,bryanth01,MIA,C,10,6.0,32.0,4,1.0,9.0,41
2025,Thomas Bryant,bryanth01,IND,C,56,42.0,219.0,49,27.0,32.0,388
2025,Kobe Bufkin,bufkiko01,ATL,SG,10,4.0,21.0,17,3.0,2.0,53
2025,Alec Burks,burksal01,MIA,SG,49,88.0,124.0,55,28.0,7.0,356
2025,Jared Butler,butleja02,WAS,PG,32,15.0,41.0,82,12.0,5.0,220
2025,Jared Butler,butleja02,PHI,SG,28,45.0,69.0,138,30.0,8.0,321
2025,Jimmy Butler,butleji01,MIA,PF,25,13.0,131.0,120,27.0,10.0,426
2025,Jimmy Butler,butleji01,GSW,SF,30,19.0,165.0,178,50.0,8.0,538
2025,Matas Buzelis,buzelma01,CHI,SF,80,96.0,278.0,79,29.0,75.0,688
2025,Jamal Cain,cainja01,NOP,SF,37,26.0,85.0,22,23.0,9.0,196
2025,Kentavious Caldwell-Pope,caldwke01,ORL,SG,77,113.0,169.0,136,99.0,34.0,673
2025,Toumani Camara,camarto01,POR,PF,78,135.0,450.0,175,116.0,50.0,882
2025,Vlatko Čančar,cancavl01,DEN,PF,13,4.0,32.0,9,3.0,2.0,24
2025,Clint Capela,capelca01,ATL,C,55,0.0,469.0,62,34.0,53.0,488
2025,Branden Carlson,carlsbr01,OKC,C,32,22.0,54.0,14,5.0,21.0,122
2025,Bub Carrington,carrica01,WAS,PG,82,138.0,341.0,364,54.0,21.0,807
2025,Devin Carter,cartede02,SAC,PG,36,18.0,76.0,41,21.0,4.0,138
2025,Jevon Carter,carteje01,CHI,PG,36,35.0,39.0,40,13.0,3.0,153
2025,Wendell Carter Jr.,cartewe01,ORL,C,68,37.0,492.0,134,52.0,41.0,618
2025,D.J. Carton,cartodj01,TOR,SG,4,0.0,4.0,3,2.0,0.0,3
2025,Alex Caruso,carusal01,OKC,SG,54,60.0,159.0,137,87.0,30.0,382
2025,Colin Castleton,castlco01,MEM,C,10,0.0,9.0,0,1.0,1.0,14
2025,Colin Castleton,castlco01,TOR,C,11,2.0,76.0,18,6.0,8.0,79
2025,Colin Castleton,castlco01,PHI,C,5,0.0,37.0,10,1.0,1.0,30
2025,Stephon Castle,castlst01,SAS,PG,81,95.0,297.0,332,74.0,22.0,1190
2025,Justin Champagnie,champju01,WAS,SF,62,74.0,351.0,60,65.0,39.0,544
2025,Julian Champagnie,champju02,SAS,SF,82,178.0,318.0,111,61.0,35.0,815
2025,Ulrich Chomche,chomcul01,TOR,PF,7,0.0,8.0,2,0.0,1.0,5
2025,Cam Christie,chrisca02,LAC,SG,13,2.0,12.0,6,5.0,1.0,18
2025,Josh Christopher,chrisjo01,MIA,SG,14,2.0,9.0,8,5.0,3.0,28
2025,Max Christie,chrisma02,LAL,SG,46,60.0,123.0,66,35.0,21.0,390
2025,Max Christie,chrisma02,DAL,SG,32,55.0,135.0,80,29.0,10.0,359
2025,Sidy Cissoko,cissosi01,SAS,SF,17,3.0,10.0,6,1.0,0.0,22
2025,Sidy Cissoko,cissosi01,POR,SF,5,0.0,11.0,9,1.0,1.0,10
2025,Brandon Clarke,clarkbr01,MEM,PF,64,1.0,326.0,66,52.0,36.0,534
2025,Jaylen Clark,clarkja02,MIN,SG,40,22.0,53.0,26,36.0,2.0,163
2025,Jordan Clarkson,clarkjo01,UTA,SG,37,84.0,118.0,138,31.0,9.0,600
2025,Nic Claxton,claxtni01,BRK,C,70,5.0,515.0,157,62.0,100.0,724
2025,Donovan Clingan,clingdo01,POR,C,67,14.0,527.0,77,34.0,110.0,436
2025,Noah Clowney,clownno01,BRK,PF,46,87.0,181.0,40,24.0,21.0,420
2025,Amir Coffey,coffeam01,LAC,SG,72,101.0,161.0,77,40.0,7.0,696
2025,Isaiah Collier,colliis01,UTA,PG,71,42.0,235.0,446,66.0,16.0,615
2025,John Collins,collijo01,UTA,PF,40,59.0,327.0,80,39.0,40.0,758
2025,Yuri Collins,colliyu01,GSW,PG,2,0.0,3.0,4,2.0,0.0,2
2025,Zach Collins,colliza01,SAS,C,36,14.0,101.0,52,14.0,15.0,167
2025,Zach Collins,colliza01,CHI,PF,28,18.0,187.0,59,15.0,14.0,240
2025,Mike Conley,conlemi01,MIN,PG,71,127.0,182.0,319,79.0,14.0,582
2025,Pat Connaughton,connapa01,MIL,SG,41,26.0,109.0,70,9.0,11.0,216
2025,Bilal Coulibaly,coulibi01,WAS,SF,59,63.0,294.0,199,78.0,41.0,727
2025,Ricky Council IV,councri01,PHI,SF,73,55.0,214.0,97,32.0,13.0,532
2025,Torrey Craig,craigto01,CHI,SF,9,15.0,25.0,5,2.0,1.0,62
2025,Torrey Craig,craigto01,BOS,SF,17,9.0,48.0,12,6.0,11.0,46
2025,Isaiah Crawford,crawfis01,SAC,SF,15,1.0,8.0,1,1.0,2.0,13
2025,Jae Crowder,crowdja01,SAC,PF,9,4.0,20.0,6,3.0,0.0,23
2025,Cui Yongxi,cuiyo01,BRK,SG,5,0.0,2.0,0,0.0,0.0,3
2025,Cade Cunningham,cunnica01,DET,PG,70,149.0,425.0,638,71.0,53.0,1830
2025,Seth Curry,curryse01,CHO,SG,68,83.0,113.0,60,27.0,7.0,444
2025,Stephen Curry,curryst01,GSW,PG,70,311.0,310.0,421,80.0,30.0,1718
2025,Pacome Dadiet,dadiepa01,NYK,SG,18,6.0,18.0,5,3.0,2.0,30
2025,Dyson Daniels,daniedy01,ATL,SG,76,80.0,449.0,333,229.0,55.0,1073
2025,Tristan Da Silva,dasiltr01,ORL,SF,74,80.0,245.0,113,33.0,18.0,533
2025,Anthony Davis,davisan02,LAL,C,42,28.0,499.0,141,54.0,90.0,1081
2025,Anthony Davis,davisan02,DAL,PF,9,7.0,91.0,40,5.0,20.0,180
2025,JD Davison,davisjd01,BOS,PG,16,4.0,13.0,13,5.0,1.0,33
2025,Johnny Davis,davisjo06,WAS,SG,34,7.0,38.0,11,15.0,6.0,80
2025,Terence Davis,daviste02,SAC,SG,1,0.0,1.0,1,0.0,0.0,0
2025,RayJ Dennis,dennira01,IND,PG,11,6.0,12.0,14,7.0,2.0,30
2025,DeMar DeRozan,derozde01,SAC,SF,77,84.0,298.0,342,62.0,32.0,1710
2025,Moussa Diabaté,diabamo01,CHO,C,71,0.0,438.0,56,46.0,40.0,403
2025,Gradey Dick,dickgr01,TOR,SG,54,114.0,193.0,98,48.0,10.0,777
2025,Ousmane Dieng,diengou01,OKC,C,37,23.0,81.0,31,17.0,7.0,142
2025,Rob Dillingham,dilliro01,MIN,PG,49,25.0,50.0,98,20.0,1.0,219
2025,Spencer Dinwiddie,dinwisp01,DAL,PG,79,109.0,209.0,349,70.0,17.0,872
2025,Donte DiVincenzo,divindo01,MIN,SG,62,174.0,228.0,225,73.0,17.0,723
2025,Luka Dončić,doncilu01,DAL,PG,22,75.0,183.0,172,44.0,9.0,619
2025,Luka Dončić,doncilu01,LAL,PG,28,102.0,226.0,211,45.0,12.0,789
2025,Luguentz Dort,dortlu01,OKC,SF,71,170.0,293.0,115,79.0,39.0,719
2025,Ayo Dosunmu,dosunay01,CHI,SG,46,62.0,161.0,208,43.0,18.0,566
2025,Jeff Dowtin,dowtije01,PHI,PG,41,28.0,60.0,78,24.0,12.0,285
2025,PJ Dozier,doziepj01,MIN,SG,9,2.0,5.0,5,1.0,0.0,7
2025,Andre Drummond,drumman01,PHI,C,40,3.0,310.0,34,39.0,18.0,293
2025,Chris Duarte,duartch01,CHI,SG,17,6.0,20.0,9,0.0,0.0,36
2025,Alex Ducas,ducasal01,OKC,SG,21,10.0,26.0,5,5.0,0.0,36
2025,David Duke Jr.,dukeda01,SAS,SG,6,3.0,5.0,4,1.0,0.0,16
2025,Kris Dunn,dunnkr01,LAC,PG,74,75.0,251.0,210,128.0,27.0,474
2025,Ryan Dunn,dunnry01,PHO,SF,74,82.0,267.0,57,44.0,40.0,511
2025,Kevin Durant,duranke01,PHO,PF,62,160.0,374.0,263,50.0,77.0,1647
2025,Jalen Duren,durenja01,DET,C,78,0.0,807.0,209,54.0,89.0,918
2025,Tari Eason,easonta01,HOU,PF,57,63.0,362.0,83,97.0,50.0,686
2025,Zach Edey,edeyza01,MEM,C,66,18.0,548.0,65,36.0,85.0,610
2025,Anthony Edwards,edwaran01,MIN,SG,79,320.0,450.0,359,91.0,51.0,2177
2025,Jesse Edwards,edwarje01,MIN,C,2,0.0,0.0,1,0.0,0.0,0
2025,Justin Edwards,edwarju01,PHI,SF,44,69.0,148.0,69,45.0,16.0,445
2025,Kessler Edwards,edwarke02,DAL,SF,40,22.0,115.0,42,19.0,20.0,168
2025,Keon Ellis,elliske01,SAC,SG,80,139.0,212.0,120,121.0,63.0,666
2025,Joel Embiid,embiijo01,PHI,C,19,23.0,155.0,85,14.0,18.0,452
2025,Tyson Etienne,etienty01,BRK,PG,7,13.0,9.0,12,3.0,1.0,55
2025,Drew Eubanks,eubandr01,UTA,C,37,3.0,168.0,45,10.0,32.0,215
2025,Drew Eubanks,eubandr01,LAC,C,24,0.0,58.0,9,2.0,7.0,65
2025,Tosan Evbuomwan,evbuoto01,BRK,SF,28,24.0,120.0,55,24.0,10.0,267
2025,Dante Exum,exumda01,DAL,PG,20,23.0,33.0,56,12.0,3.0,174
2025,Bruno Fernando,fernabr01,TOR,C,17,0.0,51.0,18,4.0,9.0,58
2025,Kyle Filipowski,filipky01,UTA,C,72,77.0,440.0,140,48.0,22.0,690
2025,Dorian Finney-Smith,finnedo01,BRK,PF,20,47.0,91.0,31,18.0,12.0,208
2025,Dorian Finney-Smith,finnedo01,LAL,PF,43,82.0,156.0,59,40.0,11.0,341
2025,Adam Flagler,flaglad01,OKC,SG,37,14.0,27.0,12,8.0,3.0,65
2025,Trentyn Flowers,flowetr01,LAC,SF,6,0.0,4.0,0,0.0,0.0,11
2025,Malachi Flynn,flynnma01,CHO,PG,4,1.0,7.0,7,3.0,0.0,16
2025,Simone Fontecchio,fontesi01,DET,SF,75,76.0,215.0,65,31.0,12.0,446
2025,De'Aaron Fox,foxde01,SAC,PG,45,92.0,225.0,276,66.0,20.0,1124
2025,De'Aaron Fox,foxde01,SAS,PG,17,26.0,73.0,116,25.0,5.0,335
2025,Enrique Freeman,freemen01,IND,PF,22,1.0,30.0,9,3.0,3.0,46
2025,Markelle Fultz,fultzma01,SAC,PG,21,4.0,20.0,27,10.0,2.0,61
2025,Johnny Furphy,furphjo01,IND,SG,50,15.0,71.0,19,18.0,11.0,103
2025,Daniel Gafford,gaffoda01,DAL,C,57,0.0,388.0,80,23.0,102.0,701
2025,Darius Garland,garlada01,CLE,PG,75,212.0,214.0,506,91.0,11.0,1544
2025,Marcus Garrett,garrema01,CHO,SG,4,3.0,6.0,13,3.0,2.0,28
2025,Luka Garza,garzalu01,MIN,C,39,10.0,54.0,11,6.0,3.0,138
2025,Keyonte George,georgke01,UTA,PG,67,174.0,253.0,377,46.0,9.0,1125
2025,Kyshawn George,georgky01,WAS,SG,68,114.0,285.0,169,68.0,50.0,590
2025,Paul George,georgpa01,PHI,PF,41,96.0,219.0,178,75.0,20.0,665
2025,Taj Gibson,gibsota01,CHO,C,37,1.0,120.0,21,9.0,18.0,107
2025,Josh Giddey,giddejo01,CHI,PG,70,105.0,566.0,503,84.0,45.0,1022
2025,Shai Gilgeous-Alexander,gilgesh01,OKC,PG,76,163.0,379.0,486,131.0,77.0,2484
2025,Anthony Gill,gillan01,WAS,PF,51,10.0,66.0,16,9.0,2.0,129
2025,Collin Gillespie,gilleco01,PHO,PG,33,39.0,78.0,78,21.0,5.0,194
2025,Rudy Gobert,goberru01,MIN,C,72,0.0,785.0,127,56.0,104.0,866
2025,Jordan Goodwin,goodwjo01,LAL,PG,29,26.0,112.0,42,30.0,11.0,161
2025,Aaron Gordon,gordoaa01,DEN,PF,51,75.0,247.0,164,23.0,14.0,748
2025,Eric Gordon,gordoer01,PHI,SG,39,56.0,46.0,65,26.0,12.0,266
2025,Jazian Gortman,gortmja01,DAL,PG,16,4.0,5.0,6,2.0,1.0,24
2025,Jerami Grant,grantje01,POR,PF,47,108.0,163.0,101,41.0,46.0,677
2025,A.J. Green,greenaj01,MIL,SG,73,155.0,174.0,108,37.0,7.0,541
2025,Draymond Green,greendr01,GSW,PF,68,80.0,414.0,383,99.0,70.0,613
2025,Javonte Green,greenja02,NOP,SG,50,38.0,178.0,45,55.0,30.0,288
2025,Javonte Green,greenja02,CLE,SG,18,8.0,40.0,11,10.0,1.0,59
2025,Jalen Green,greenja05,HOU,SG,82,234.0,377.0,282,71.0,27.0,1723
2025,Jeff Green,greenje02,HOU,PF,32,29.0,58.0,20,6.0,4.0,172
2025,Josh Green,greenjo02,CHO,SG,68,97.0,172.0,108,74.0,15.0,506
2025,Quentin Grimes,grimequ01,DAL,SG,47,80.0,179.0,101,32.0,10.0,480
2025,Quentin Grimes,grimequ01,PHI,SG,28,82.0,145.0,127,42.0,12.0,612
2025,Mouhamed Gueye,gueyemo02,ATL,PF,33,21.0,139.0,27,28.0,33.0,197
2025,Rui Hachimura,hachiru01,LAL,PF,59,102.0,295.0,83,45.0,26.0,775
2025,Tyrese Haliburton,halibty01,IND,PG,73,218.0,258.0,673,105.0,49.0,1359
2025,PJ Hall,hallpj01,DEN,C,19,2.0,22.0,4,0.0,4.0,33
2025,Tim Hardaway Jr.,hardati02,DET,SG,77,168.0,183.0,123,38.0,7.0,844
2025,James Harden,hardeja01,LAC,PG,79,235.0,456.0,687,118.0,55.0,1802
2025,Jaden Hardy,hardyja02,DAL,SG,57,76.0,89.0,81,28.0,5.0,496
2025,Elijah Harkless,harklej01,UTA,SG,10,7.0,21.0,8,10.0,1.0,32
2025,Ron Harper Jr.,harpero02,DET,SF,1,0.0,7.0,2,0.0,0.0,4
2025,Gary Harris,harriga01,ORL,SG,48,36.0,64.0,30,26.0,12.0,145
2025,Tobias Harris,harrito02,DET,PF,73,91.0,432.0,162,74.0,57.0,1002
2025,Isaiah Hartenstein,harteis01,OKC,C,57,0.0,611.0,219,47.0,62.0,637
2025,Josh Hart,hartjo01,NYK,SG,77,84.0,737.0,453,119.0,27.0,1051
2025,Sam Hauser,hausesa01,BOS,PF,71,166.0,224.0,64,41.0,13.0,605
2025,Jordan Hawkins,hawkijo01,NOP,SG,56,110.0,158.0,66,30.0,23.0,604
2025,Jaxson Hayes,hayesja02,LAL,C,56,0.0,269.0,58,31.0,51.0,383
2025,Killian Hayes,hayeski01,BRK,PG,6,8.0,18.0,31,4.0,4.0,54
2025,Scoot Henderson,hendesc01,POR,PG,66,105.0,198.0,335,68.0,13.0,837
2025,Taylor Hendricks,hendrta01,UTA,PF,3,3.0,15.0,2,5.0,4.0,14
2025,Tyler Herro,herroty01,MIA,SG,77,251.0,399.0,424,69.0,17.0,1840
2025,Buddy Hield,hieldbu01,GSW,SG,82,203.0,264.0,134,69.0,23.0,912
2025,Haywood Highsmith,highsha01,MIA,SF,74,89.0,252.0,112,68.0,37.0,478
2025,Aaron Holiday,holidaa01,HOU,PG,62,72.0,78.0,83,19.0,11.0,340
2025,Jrue Holiday,holidjr01,BOS,PG,62,108.0,265.0,239,66.0,27.0,686
2025,Ron Holland,hollaro01,DET,SF,81,36.0,218.0,82,49.0,17.0,522
2025,Richaun Holmes,holmeri01,WAS,PF,31,0.0,177.0,42,9.0,23.0,230
2025,Chet Holmgren,holmgch01,OKC,C,32,44.0,257.0,63,23.0,71.0,479
2025,Jalen Hood-Schifino,hoodsja01,LAL,SG,2,0.0,1.0,1,0.0,1.0,4
2025,Jalen Hood-Schifino,hoodsja01,PHI,SG,13,14.0,26.0,36,5.0,6.0,102
2025,Al Horford,horfoal01,BOS,C,60,114.0,369.0,128,36.0,51.0,538
2025,Talen Horton-Tucker,hortota01,CHI,SG,58,41.0,100.0,83,21.0,11.0,379
2025,Caleb Houstan,houstca01,ORL,SF,58,64.0,75.0,35,22.0,6.0,239
2025,Jett Howard,howarje01,ORL,SF,60,55.0,70.0,44,13.0,11.0,267
2025,Kevin Huerter,huertke01,SAC,SG,43,62.0,120.0,74,36.0,16.0,338
2025,Kevin Huerter,huertke01,CHI,SG,26,70.0,85.0,82,30.0,7.0,343
2025,Jay Huff,huffja01,MEM,C,64,81.0,129.0,38,16.0,56.0,439
2025,Ariel Hukporti,hukpoar01,NYK,C,25,0.0,51.0,11,1.0,15.0,48
2025,De'Andre Hunter,huntede01,ATL,SF,37,97.0,145.0,57,31.0,5.0,702
2025,De'Andre Hunter,huntede01,CLE,SF,27,60.0,113.0,35,19.0,8.0,386
2025,Bones Hyland,hylanbo01,LAC,PG,20,31.0,24.0,28,18.0,4.0,144
2025,Bones Hyland,hylanbo01,MIN,PG,4,1.0,1.0,4,0.0,0.0,5
2025,Oso Ighodaro,ighodos01,PHO,PF,61,0.0,222.0,71,28.0,29.0,255
