player_id,year,round,pick,team
aaronar01,1984,4,73,CLE
abdelal01,1990,1,25,POR
abdulka01,1969,1,1,MIL
abdulma01,1964,1,5,LAL
abdulma02,1990,1,3,DEN
abdulta01,1997,1,11,SAC
abdulza01,1968,1,5,CIN
abdursh01,1996,1,3,VAN
abernto01,1976,3,43,LAL
ablefo01,1956,3,21,SYR
abneyph01,1979,6,113,NYK
abrahri01,1969,10,128,PHO
abramwa01,1980,3,55,CLE
abrinal01,2013,2,32,OKC
abromji01,1979,5,95,NJN
acamuwa01,1957,6,42,DET
achiupr01,2020,1,20,MIA
ackeral01,2005,2,60,DET
ackerdo01,1953,2,11,NYK
ackerto01,1952,4,,MNL
acklege01,1991,2,29,MIA
acresje01,1985,7,140,IND
acresma01,1985,2,40,DAL
acyqu01,2012,2,37,TOR
adamsal01,1975,1,4,PHO
adamsbe01,1950,10,111,PHW
adamsbu01,1965,16,108,BAL
adamsda01,1973,11,172,CAP
adamsdo01,1970,8,120,SDR
adamsge01,1972,3,46,MIL
adamsha01,2006,2,54,NJN
adamsja03,1956,7,52,NYK
adamsje01,1986,5,106,POR
adamsjo01,2014,1,22,MEM
adamsll01,1972,12,170,BAL
adamslu01,1971,8,132,LAL
adamsmi01,1985,3,66,SAC
adamspa01,1970,12,188,POR
adamsri01,1978,4,86,SAS
adamsri02,1985,4,81,WSB
adamsst01,2013,1,12,OKC
adamssy01,1968,10,128,NYK
adamsty01,1982,3,53,CHI
adcocbi01,1950,8,92,FTW
addisra01,1986,2,39,PHO
adebaba01,2017,1,14,MIA
adelmri01,1968,7,79,SDR
adelmst01,1968,10,124,BAL
adkinje01,1985,7,149,CHI
adolpmo01,1972,16,193,POR
adolpte01,1981,4,80,GSW
adriabr01,1972,5,77,BOS
adubasc01,1987,7,143,SAC
afflaar01,2007,1,27,DET
agbajoc01,2022,1,14,CLE
agerma01,2006,1,28,DAL
agnewcl01,1976,9,154,WSB
agravdi01,2015,2,59,ATL
aguirma01,1981,1,1,DAL
ahearji01,1955,10,76,BOS
aingeda01,1981,2,31,BOS
aitchma01,1967,13,135,DET
ajincal01,2008,1,20,CHA
ajincme01,2024,2,51,NYK
akinhe01,1966,2,11,NYK
akyolce01,2005,2,59,ATL
alabiso01,2010,2,50,DAL
alamaal01,1961,7,63,LAL
alamobo01,1947,3,,PIT
alarima01,1986,1,18,DEN
alcorga01,1958,13,83,MNL
aldamsa01,2021,1,30,UTA
aldemfu01,2012,2,53,LAC
aldriar01,1978,6,125,WSB
aldrico01,2010,1,11,NOH
aldrila01,2006,1,2,CHI
aleksch01,1982,4,76,CHI
alemebo01,1947,6,,BOS
alexaco01,1995,1,29,SAS
alexaco02,2000,1,13,ORL
alexajo01,2008,1,8,MIL
alexani01,2019,1,17,BRK
alexavi01,1991,1,17,GSW
alexiwe01,1986,3,59,GSW
alforch01,1968,10,129,LAL
alforst01,1987,2,26,DAL
allenal01,1984,5,98,LAC
allenar01,1975,10,172,BUF
allenbi02,1983,6,125,DAL
allenbo01,1968,6,71,SFW
allenbo02,1972,14,183,KCO
allenbr01,1974,7,119,GSW
allenbu01,1958,6,45,PHW
allench01,1972,11,160,ATL
allencl01,1974,8,137,GSW
allengr01,2018,1,21,UTA
