season,player_id,player_display_name,recent_team,position,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,tackles,def_sacks,def_interceptions
1950,archive-10001,Dick Hoerner,LAR,RB,0,0,381,10,446,1,0.0,0.0,0.0
1950,archive-10002,Bob Hoernschemeyer,DET,RB,19,1,471,1,79,1,0.0,0.0,0.0
1950,archive-10012,John Hoffman,CHI,RB,0,0,80,0,140,2,0.0,0.0,0.0
1950,archive-10083,Joe Hollingsworth,PIT,RB,0,0,2,0,0,0,0.0,0.0,0.0
1950,archive-10304,Sherman Howard,NYY,RB,0,0,277,3,195,5,0.0,0.0,0.0
1950,archive-10478,Chuck Hunsinger,CHI,RB,0,0,329,2,20,0,0.0,0.0,0.0
1950,archive-10732,Bob Jackson,NYG,RB,0,0,118,2,0,0,0.0,0.0,0.0
1950,archive-10949,Val Jansante,PIT,WR,0,0,0,0,103,0,0.0,0.0,0.0
1950,archive-11567,Dub Jones,CLE,RB,0,0,384,6,458,5,0.0,0.0,0.0
1950,archive-1182,Paul Barry,LAR,RB,0,0,231,2,122,0,0.0,0.0,0.0
1950,archive-11827,Charlie Justice,WAS,RB,15,0,285,0,180,2,0.0,0.0,0.0
1950,archive-11871,Tommy Kalmanir,LAR,RB,0,0,83,0,58,1,0.0,0.0,0.0
1950,archive-11958,Ken Kavanaugh,CHI,WR,0,0,0,0,331,2,0.0,0.0,0.0
1950,archive-11968,Jim Keane,CHI,WR,0,0,0,0,410,0,0.0,0.0,0.0
1950,archive-12716,Mal Kutner,CRD,WR,0,0,0,0,51,0,0.0,0.0,0.0
1950,archive-1281,Sammy Baugh,WAS,QB,1130,10,27,1,0,0,0.0,0.0,0.0
1950,archive-12972,Dante Lavelli,CLE,WR,0,0,0,0,565,5,0.0,0.0,0.0
1950,archive-13019,Bobby Layne,DET,QB,2323,16,250,4,0,0,0.0,0.0,0.0
1950,archive-13070,Toy Ledbetter,PHI,RB,0,0,320,1,66,2,0.0,0.0,0.0
1950,archive-1330,Alyn Beals,SF,WR,0,0,0,0,315,3,0.0,0.0,0.0
1950,archive-13362,Verl Lillywhite,SF,RB,0,0,4,0,6,0,0.0,0.0,0.0
1950,archive-13447,Howie Livingston,WAS,RB,0,0,0,0,156,2,0.0,0.0,0.0
