player_id,player_display_name,field_position,recent_team,season,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds
archive-8,Karim Abdul-Jabbar,RB,MIA,1996,0,0,1116,11,139,0
archive-8,Karim Abdul-Jabbar,RB,MIA,1997,0,0,892,15,261,1
archive-8,Karim Abdul-Jabbar,RB,MIA,1998,0,0,960,6,102,0
archive-18,Walter Abercrombie,RB,PHI,1988,0,0,14,0,-2,0
archive-18,Walter Abercrombie,RB,PIT,1982,0,0,100,2,14,0
archive-18,Walter Abercrombie,RB,PIT,1983,0,0,446,4,391,3
archive-18,Walter Abercrombie,RB,PIT,1984,0,0,610,1,135,0
archive-18,Walter Abercrombie,RB,PIT,1985,0,0,851,7,209,2
archive-18,Walter Abercrombie,RB,PIT,1986,0,0,877,6,395,2
archive-18,Walter Abercrombie,RB,PIT,1987,0,0,459,2,209,0
archive-26,Danny Abramowicz,WR,NO,1967,0,0,0,0,721,6
archive-26,Danny Abramowicz,WR,NO,1968,0,0,27,0,890,7
archive-26,Danny Abramowicz,WR,NO,1969,0,0,61,0,1015,7
archive-26,Danny Abramowicz,WR,NO,1970,0,0,7,0,906,5
archive-26,Danny Abramowicz,WR,NO,1971,0,0,0,0,657,5
archive-26,Danny Abramowicz,WR,NO,1972,0,0,0,0,668,7
archive-26,Danny Abramowicz,WR,NO,1973,0,0,0,0,18,0
archive-26,Danny Abramowicz,WR,SF,1973,0,0,0,0,442,1
archive-26,Danny Abramowicz,WR,SF,1974,41,0,0,0,369,1
archive-33,Ray Abruzzese,RB,BUF,1962,0,0,0,0,0,0
archive-33,Ray Abruzzese,RB,BUF,1963,0,0,0,0,0,0
archive-33,Ray Abruzzese,RB,NYJ,1965,0,0,0,0,0,0
archive-33,Ray Abruzzese,RB,NYJ,1966,0,0,0,0,0,0
archive-48,Mike Adamle,RB,CHI,1975,57,0,353,1,111,0
archive-48,Mike Adamle,RB,CHI,1976,0,0,93,0,28,1
archive-48,Mike Adamle,RB,KC,1971,0,0,43,0,6,1
archive-48,Mike Adamle,RB,KC,1972,0,0,303,1,76,0
archive-48,Mike Adamle,RB,NYJ,1973,0,0,264,0,63,0
archive-48,Mike Adamle,RB,NYJ,1974,0,0,93,2,84,0
archive-54,Bob Adams,TE,ATL,1976,0,0,0,0,15,0
archive-54,Bob Adams,TE,DEN,1975,0,0,0,0,0,0
archive-54,Bob Adams,TE,NE,1973,0,0,7,0,197,0
archive-54,Bob Adams,TE,NE,1974,0,0,0,0,244,0
archive-54,Bob Adams,TE,PIT,1969,0,0,0,0,80,0
archive-54,Bob Adams,TE,PIT,1970,0,0,0,0,36,0
archive-54,Bob Adams,TE,PIT,1971,0,0,0,0,160,0
archive-58,Curtis Adams,RB,LAC,1985,0,0,49,1,12,0
archive-58,Curtis Adams,RB,LAC,1986,0,0,366,4,26,0
archive-58,Curtis Adams,RB,LAC,1987,0,0,343,1,38,0
archive-58,Curtis Adams,RB,LAC,1988,0,0,149,1,0,0
archive-61,David Adams,RB,DAL,1987,0,0,49,1,8,0
archive-66,George Adams,RB,NE,1990,0,0,111,0,146,1
archive-66,George Adams,RB,NE,1991,0,0,3,0,0,0
archive-66,George Adams,RB,NYG,1985,0,0,498,2,389,2
archive-66,George Adams,RB,NYG,1987,0,0,169,1,298,1
archive-66,George Adams,RB,NYG,1988,0,0,76,0,174,0
archive-66,George Adams,RB,NYG,1989,0,0,29,0,7,0
archive-74,John Adams,WR,CHI,1959,0,0,-13,0,0,0
archive-74,John Adams,WR,CHI,1960,0,0,114,0,-20,0
archive-74,John Adams,WR,CHI,1961,11,0,-2,1,80,0
archive-74,John Adams,WR,CHI,1962,0,0,0,0,111,3
archive-74,John Adams,WR,LAR,1963,0,0,0,0,93,0
archive-83,Mike Adams,WR,PIT,1997,0,0,0,0,39,0
archive-98,Tom Adams,WR,MIN,1962,0,0,0,0,51,0
archive-99,Tony Adams,QB,KC,1975,445,2,42,0,-7,0
archive-99,Tony Adams,QB,KC,1976,575,3,46,0,0,0
archive-99,Tony Adams,QB,KC,1977,691,2,21,0,0,0
archive-99,Tony Adams,QB,KC,1978,415,2,15,0,0,0
archive-99,Tony Adams,QB,MIN,1987,607,3,31,0,0,0
archive-104,Willis Adams,WR,CLE,1979,0,0,4,0,6,0
