player_id,player_name,team,position,broad_position,position_source,old_overall,new_overall,attribute_model_version,overall_model_version,model_coverage,overall_confidence,core_penalty,versatility_bonus,old_rank,new_rank,overall_change,rank_change
3146557,Jock Landale,ATL,C,C,verified season statistics,68,65,v5-possession-expanded,v2-positional-value,100,Medium,0.0,0.0,129,263,-3,-134
4431680,Onyeka Okongwu,ATL,C,C,verified season statistics,77,73,v5-possession-expanded,v2-positional-value,100,Medium,0.0,0.22,21,99,-4,-78
4431714,Jalen Wilson,ATL,PF,F,verified season statistics,52,58,v5-possession-expanded,v2-positional-value,100,Medium,1.19,0.0,352,340,6,12
4712863,Mouhamed Gueye,ATL,PF,F,verified season statistics,63,68,v5-possession-expanded,v2-positional-value,100,Medium,0.49,0.0,228,207,5,21
2490149,CJ McCollum,ATL,PG,G,verified season statistics,66,75,v5-possession-expanded,v2-positional-value,100,Medium,0.0,0.0,158,55,9,103
4433188,Devin Carter,ATL,PG,G,verified season statistics,61,64,v5-possession-expanded,v2-positional-value,100,Medium,0.32,0.0,255,268,3,-13
4280151,Corey Kispert,ATL,SF,F,verified season statistics,61,67,v5-possession-expanded,v2-positional-value,100,Medium,0.69,0.11,253,213,6,40
4701230,Jalen Johnson,ATL,SF,F,verified season statistics,75,77,v5-possession-expanded,v2-positional-value,100,Medium,0.06,0.06,31,33,2,-2
4397020,Luguentz Dort,ATL,SF,F,verified season statistics,59,66,v5-possession-expanded,v2-positional-value,100,Medium,1.07,0.0,296,244,7,52
4397183,Aaron Wiggins,ATL,SG,G,verified season statistics,71,77,v5-possession-expanded,v2-positional-value,100,Medium,0.02,0.48,75,29,6,46
2990984,Buddy Hield,ATL,SG,G,verified season statistics,68,73,v5-possession-expanded,v2-positional-value,100,Medium,0.09,0.53,117,87,5,30
4869342,Dyson Daniels,ATL,SG,G,verified season statistics,70,71,v5-possession-expanded,v2-positional-value,100,Medium,0.58,1.42,94,135,1,-41
4278039,Nickeil Alexander-Walker,ATL,SG,G,verified season statistics,63,66,v5-possession-expanded,v2-positional-value,100,Medium,0.44,0.0,229,248,3,-19
4277951,Luka Garza,BOS,C,C,verified season statistics,63,55,v5-possession-expanded,v2-positional-value,100,Medium,0.1,0.0,227,349,-8,-122
4351852,Mitchell Robinson,BOS,C,C,verified season statistics,64,66,v5-possession-expanded,v2-positional-value,100,Medium,0.21,0.88,211,246,2,-35
4397424,Neemias Queta,BOS,C,C,verified season statistics,69,66,v5-possession-expanded,v2-positional-value,100,Medium,0.0,0.0,113,247,-3,-134
4065648,Jayson Tatum,BOS,PF,F,verified season statistics,74,78,v5-possession-expanded,v2-positional-value,100,Medium,0.01,0.0,42,23,4,19
4683689,Jordan Walsh,BOS,PF,F,verified season statistics,60,67,v5-possession-expanded,v2-positional-value,86,Medium,0.32,0.0,280,224,7,56
4251,Paul George,BOS,PF,F,verified season statistics,72,75,v5-possession-expanded,v2-positional-value,100,Medium,0.0,0.44,72,68,3,4
